,res_PCA_anomalous_DNN,res_PCA_autoencoder_DNN,res_PCA_rbm_DNN,res_PCA_anomalous_RF,res_PCA_autoencoder_RF,res_PCA_rbm_RF
0,0.0676732510328,0.0634166970849,0.0654878616333,0.0678325220942,0.0634112283587,0.0661451146007
1,0.0667816773057,0.0634417012334,0.0635939911008,0.0657273605466,0.0643179044127,0.0684679970145
2,0.0687232241035,0.0628004148602,0.0660749226809,0.0669380053878,0.0623795762658,0.0666607618332
3,0.0674805864692,0.063826687634,0.0670035853982,0.0675919055939,0.0647208020091,0.0660154670477
4,0.0669239759445,0.0631525069475,0.0665896311402,0.0712148919702,0.063022904098,0.0679374188185
5,0.0663630142808,0.06280233711,0.0671644732356,0.0660385414958,0.0633729994297,0.0659170225263
6,0.065993219614,0.0633750483394,0.0682231411338,0.0667753070593,0.0658105835319,0.0640829727054
7,0.0681174993515,0.0626452192664,0.066042304039,0.0676560774446,0.0642855912447,0.0655704364181
8,0.0669816285372,0.0652403235435,0.068019144237,0.0685485005379,0.0638250932097,0.0660546422005
9,0.0672298297286,0.0635795667768,0.0693593546748,0.0675484538078,0.0636272579432,0.0670874118805
10,0.0670219585299,0.0626388415694,0.0652670934796,0.0684030801058,0.0622912310064,0.0643570795655
11,0.065995760262,0.0637716203928,0.0672573894262,0.0676728636026,0.0634767860174,0.0678584948182
12,0.0666141211987,0.0638276711106,0.0671520754695,0.066365018487,0.0637213438749,0.0659611076117
13,0.0700887963176,0.0632122159004,0.0651901960373,0.0703068375587,0.0636537149549,0.0652498826385
14,0.0671904906631,0.0642992854118,0.0655119642615,0.0675820410252,0.0624313764274,0.0646050572395
15,0.0647180899978,0.063831537962,0.0653669908643,0.0659363493323,0.0629918202758,0.0633103996515
16,0.0658222213387,0.0626361072063,0.0661597326398,0.067395798862,0.0635674446821,0.0652652680874
17,0.0677598193288,0.0639359503984,0.0642627179623,0.0694515556097,0.0643598586321,0.065745651722
18,0.0666062384844,0.0638483017683,0.0654806643724,0.0666804537177,0.063624471426,0.0677161514759
19,0.0666323900223,0.0640145838261,0.064824655652,0.0668583959341,0.0648047327995,0.0660166218877
20,0.0666870847344,0.0642311573029,0.0658554956317,0.0691787675023,0.0632958784699,0.0652490034699
21,0.0676236301661,0.0625076070428,0.0699425414205,0.067457780242,0.0631148964167,0.0653119981289
22,0.0668766051531,0.0619498305023,0.0676165297627,0.0688302442431,0.0635102316737,0.0669762566686
23,0.0667247921228,0.0640508756042,0.0659876763821,0.0663170665503,0.0640618428588,0.0648405700922
24,0.067724250257,0.063424281776,0.0668521896005,0.070676997304,0.0626901164651,0.0651486888528
