,OHCLV_anomalous,OHCLV_autoencoder,OHCLV_pca,OHCLV_rbm
0,0.114061251283,0.121116995811,0.0587339736521,0.120988942683
1,0.111575566232,0.120711162686,0.0606732442975,0.121370539069
2,0.118191048503,0.119855254889,0.0617712698877,0.120816126466
3,0.113399095833,0.12399943918,0.0625716894865,0.121801391244
4,0.116440169513,0.122084759176,0.0586372241378,0.122370183468
5,0.115119971335,0.122144274414,0.0604937709868,0.121703244746
6,0.113173015416,0.114077858627,0.0561029314995,0.120686389506
7,0.109412699938,0.120066687465,0.0616328977048,0.121841229498
8,0.114729858935,0.123558349907,0.0600041337311,0.121224336326
9,0.114153064787,0.12100070715,0.0587241016328,0.121455490589
10,0.109413459897,0.122049041092,0.0578647553921,0.121549502015
11,0.114368274808,0.120856374502,0.0573013089597,0.12086610496
12,0.117165632546,0.115728750825,0.05891559273,0.121383026242
13,0.113670378923,0.120559968054,0.0564051046968,0.121772959828
14,0.120587237179,0.139617353678,0.0600838288665,0.121589571238
15,0.115814261138,0.123165406287,0.0600721016526,0.122117847204
16,0.113008178771,0.117708161473,0.058678291738,0.121361151338
17,0.114246733487,0.117388926446,0.0618842057884,0.12093424052
18,0.110147379339,0.121953807771,0.0555770210922,0.121319644153
19,0.110520362854,0.121826320887,0.0584783889353,0.121539607644
20,0.114380784333,0.125627681613,0.0566199570894,0.121051125228
21,0.109201125801,0.121338613331,0.0554255619645,0.12109850347
22,0.111829079688,0.121406599879,0.05879977718,0.12129906565
23,0.118733398616,0.124623432755,0.0600471943617,0.121344432235
24,0.114701159298,0.119469992816,0.0592878162861,0.121348626912
