,OHCLV,Anomalous,Autoencoder,PCA,RBM,OHCLV_Anomalous,OHCLV_Autoencoder,OHCLV_PCA,OHCLV_RBM,PCA_anomalous,PCA_autoencoder,PCA_rbm
0,0.0397570170462,0.0606744103134,0.0395783782005,0.0402357578278,0.039584223181,0.0402706153691,0.0395699478686,0.039848074317,0.0399310663342,0.040738184005,0.040220618248,0.040251750499
1,0.0398197509348,0.0607864446938,0.0395345836878,0.0404574871063,0.0395678132772,0.0404487289488,0.0396790020168,0.040084708482,0.0398491472006,0.0406400598586,0.0401391983032,0.0404919274151
2,0.0397492609918,0.06074937433,0.0394725240767,0.0405632480979,0.0395245663822,0.0402753278613,0.0395404957235,0.040063995868,0.0398486144841,0.0404881164432,0.0402894206345,0.0405366048217
3,0.0396902002394,0.0606127716601,0.0395099967718,0.0403001755476,0.0395232662559,0.0402900874615,0.0395953543484,0.0400610789657,0.039884980768,0.0406131893396,0.0401693657041,0.040451195091
4,0.0396109856665,0.0604495741427,0.0394599474967,0.0403577201068,0.0395550206304,0.0402133911848,0.0396568961442,0.0399533398449,0.0397532954812,0.040506567806,0.0402252934873,0.0404971055686
5,0.0397671423852,0.0607494562864,0.0395006462932,0.0405240133405,0.0395585112274,0.0402843058109,0.0396089181304,0.0398620143533,0.0398869998753,0.0405118577182,0.0402499251068,0.0405307002366
6,0.0397723540664,0.0606714859605,0.0395784042776,0.0405170246959,0.0395778119564,0.040262337774,0.0394714586437,0.0398454219103,0.0400217883289,0.0408136434853,0.0403103157878,0.0403921380639
7,0.0396752916276,0.0604991205037,0.0395132005215,0.0403271913528,0.0396041758358,0.0402219034731,0.0396477393806,0.03994037956,0.0398851670325,0.0404266454279,0.0404485650361,0.0406511500478
8,0.0396263338625,0.0602664388716,0.0394496843219,0.0405724048615,0.0395288653672,0.0402030535042,0.0397254824638,0.0400486029685,0.0398702286184,0.0407136790454,0.0401135757565,0.0405694134533
9,0.0398266464472,0.0606186762452,0.0394233725965,0.0406340621412,0.0395224317908,0.0404699742794,0.0397739484906,0.0397513173521,0.0397560857236,0.0407120548189,0.0401314422488,0.0404521077871
10,0.0397460460663,0.060485213995,0.0394600220025,0.0404713228345,0.0395690873265,0.0403754003346,0.0397498570383,0.0399707742035,0.039846137166,0.0404190160334,0.0403794050217,0.0404197238386
11,0.0398009233177,0.060596242547,0.0394583120942,0.040425684303,0.0395328216255,0.0402847342193,0.0396162606776,0.0397983826697,0.0398171618581,0.0408188439906,0.0402106195688,0.0403694063425
12,0.039671741426,0.0603795237839,0.0394322313368,0.0403767079115,0.0395713932812,0.0401728227735,0.0395489819348,0.039943318814,0.0398408956826,0.0405090264976,0.040293071419,0.0403664857149
13,0.0396461933851,0.0605803951621,0.0395977087319,0.0407778024673,0.039529427886,0.0405922718346,0.0397418625653,0.0397487580776,0.0399353764951,0.0406085401773,0.0403781980276,0.0405089147389
14,0.0397903062403,0.060302015394,0.0397258214653,0.0404916889966,0.0395414717495,0.0402957499027,0.039682880044,0.0399798676372,0.0397833287716,0.0408322885633,0.0403462387621,0.0403751060367
15,0.0397904850543,0.0602653622627,0.0394360981882,0.0404716543853,0.0395467504859,0.0402834676206,0.039546020329,0.0401362888515,0.039773657918,0.0408534556627,0.0403575152159,0.0404634177685
16,0.0396221280098,0.0605916045606,0.0397384166718,0.0404570735991,0.0395125187933,0.040260951966,0.0398037359118,0.0399022996426,0.0399280674756,0.0406218096614,0.040384285152,0.0403811261058
17,0.0398441106081,0.060445651412,0.0395256690681,0.0404047369957,0.0395638644695,0.0404239371419,0.0398091375828,0.039910800755,0.0398853942752,0.0405247844756,0.0402411036193,0.0405138581991
18,0.0396654084325,0.0605968348682,0.0394391156733,0.0406142324209,0.0395764037967,0.0402919389307,0.0398242138326,0.0397575423121,0.0399058014154,0.0405727811158,0.0401878841221,0.0403895117342
19,0.039763469249,0.060267649591,0.0395018644631,0.0405447781086,0.0396006442606,0.0403214134276,0.0395619757473,0.0400405488908,0.0398561246693,0.040769264102,0.0402740910649,0.0404031388462
20,0.0397443398833,0.0605695471168,0.0395598597825,0.0405863076448,0.0395411550999,0.0403683334589,0.0397003777325,0.039837487042,0.039868529886,0.0407391637564,0.0402602367103,0.0404330007732
21,0.0398129671812,0.0605093501508,0.0395612381399,0.0404631942511,0.0394906699657,0.0402826443315,0.0395990721881,0.0400035306811,0.03983714059,0.0404376722872,0.0402951613069,0.0404978767037
22,0.0396854318678,0.060734692961,0.0394174307585,0.0404481254518,0.0394847691059,0.0401662960649,0.0396922081709,0.0398804955184,0.0399584285915,0.0407485179603,0.0402988493443,0.0404353775084
23,0.0396789610386,0.060499407351,0.0394702106714,0.0405621044338,0.0395830497146,0.0403545536101,0.0396999418736,0.0399871654809,0.039808947593,0.0409062169492,0.0402468182147,0.0405743382871
24,0.0396912582219,0.0605547502637,0.0395316742361,0.0404497310519,0.0396567992866,0.0403716862202,0.0397126115859,0.039801299572,0.0397394150496,0.0406845398247,0.0402113609016,0.0404651872814
