,OHCLV_anomalous,OHCLV_autoencoder,OHCLV_pca,OHCLV_rbm
0,0.109573319554,0.0983941107988,0.0653587058187,0.124305546284
1,0.10918212682,0.102882355452,0.0653567686677,0.122525364161
2,0.112674921751,0.110124908388,0.0627085343003,0.11511721462
3,0.113733999431,0.111478045583,0.0634895041585,0.118737399578
4,0.107328660786,0.0992652699351,0.0642146468163,0.115989394486
5,0.119316615164,0.107395626605,0.0645548477769,0.120155267417
6,0.113405950367,0.0993804782629,0.0660960376263,0.118346378207
7,0.113936021924,0.0991904661059,0.0638696998358,0.117805287242
8,0.113855525851,0.10287027061,0.0661557987332,0.116812802851
9,0.114723332226,0.105118386447,0.0643919035792,0.118605531752
10,0.114704936743,0.103749483824,0.0649917945266,0.116183489561
11,0.115757167339,0.10777349025,0.0647587478161,0.118019863963
12,0.111723400652,0.109303548932,0.0645357221365,0.118712827563
13,0.121129378676,0.109442740679,0.0640950873494,0.115747451782
14,0.112095929682,0.0994338095188,0.0629066675901,0.11953561753
15,0.115443833172,0.105433836579,0.0651768296957,0.118913345039
16,0.109940111637,0.105069220066,0.0655226111412,0.118793427944
17,0.111594162881,0.103330262005,0.0640686228871,0.117394678295
18,0.112676173449,0.103989869356,0.0646489262581,0.115833647549
19,0.112231008708,0.11088129133,0.0641528666019,0.117632858455
20,0.110555395484,0.0962877348065,0.0635248869658,0.115588210523
21,0.119974307716,0.106468774378,0.0640426799655,0.121472947299
22,0.1255453825,0.102118104696,0.063803948462,0.120076872408
23,0.125135689974,0.103206887841,0.0631929710507,0.119361452758
24,0.106134451926,0.110833719373,0.0645539835095,0.116470977664
