,OHCLV_anomalous,OHCLV_autoencoder,OHCLV_pca,OHCLV_rbm
0,0.102478094399,0.100167401135,0.0653199106455,0.112823657691
1,0.104239374399,0.0996919870377,0.0630541816354,0.117982566357
2,0.10444264859,0.103383488953,0.0635728463531,0.108861759305
3,0.104087598622,0.100998103619,0.0624446906149,0.113743387163
4,0.102495528758,0.105391144753,0.0632740408182,0.114075899124
5,0.103293463588,0.101369053125,0.0621629394591,0.118128031492
6,0.10659429431,0.101840466261,0.0619748979807,0.107930168509
7,0.103809222579,0.100025914609,0.0640661641955,0.115639969707
8,0.104623541236,0.101186007261,0.0647318139672,0.114028379321
9,0.101663522422,0.100827425718,0.0619369037449,0.114807441831
10,0.103194668889,0.0994461774826,0.0637858361006,0.116842955351
11,0.101389706135,0.103045500815,0.0641509443521,0.115356355906
12,0.108134709299,0.098779052496,0.0646345764399,0.114058956504
13,0.103504031897,0.102168351412,0.0619062446058,0.113758228719
14,0.103697061539,0.0999962240458,0.062206864357,0.116538889706
15,0.102195560932,0.104007855058,0.0625153705478,0.114743314683
16,0.106645591557,0.0982611402869,0.0638856962323,0.11905862391
17,0.106146171689,0.103534042835,0.0638122409582,0.114667959511
18,0.105615384877,0.100509285927,0.0634735822678,0.116317532957
19,0.103841289878,0.0982050076127,0.0616054199636,0.112531296909
20,0.108938150108,0.0989006310701,0.0635266080499,0.112673923373
21,0.106054358184,0.102581173182,0.0639833211899,0.111465677619
22,0.104436680675,0.0977688878775,0.0616047643125,0.115272194147
23,0.106249406934,0.103529803455,0.0676647871733,0.114549145103
24,0.101992636919,0.0998359844089,0.0614228025079,0.115094274282
