,res_PCA_anomalous_DNN,res_PCA_autoencoder_DNN,res_PCA_rbm_DNN,res_PCA_anomalous_RF,res_PCA_autoencoder_RF,res_PCA_rbm_RF
0,0.0580584071577,0.0553215444088,0.0688568651676,0.0662833079696,0.0554535537958,0.0615579634905
1,0.0594377554953,0.0539261363447,0.064275033772,0.0681159868836,0.0529794283211,0.0660910755396
2,0.0559825450182,0.0522389374673,0.0622093789279,0.0622989237309,0.0511536449194,0.0709697008133
3,0.0641262456775,0.0549091175199,0.0631316304207,0.0590578764677,0.0532340705395,0.063356384635
4,0.0671036317945,0.0520820133388,0.0645253807306,0.0650270730257,0.0524018965662,0.0634525641799
5,0.0644186586142,0.0551188476384,0.0678426027298,0.0634324252605,0.0521432869136,0.0652515664697
6,0.0687636956573,0.0555678382516,0.0638314634562,0.0677334219217,0.0531325489283,0.0646223053336
7,0.0632061064243,0.0548422262073,0.0643233656883,0.0652010664344,0.0554803088307,0.0672209188342
8,0.0641967579722,0.0551139377058,0.0674637034535,0.0615878254175,0.054501440376,0.0677788108587
9,0.0601874701679,0.0548172518611,0.0666283145547,0.0673756599426,0.0539831630886,0.0658169239759
10,0.0636064708233,0.0531968772411,0.0682998523116,0.0725954845548,0.052971933037,0.0674198120832
11,0.058761946857,0.0547038428485,0.0671287029982,0.0602318271995,0.0517136007547,0.061874344945
12,0.0725538134575,0.0526678524911,0.0655486881733,0.0629577115178,0.0525741651654,0.0642495006323
13,0.0590765587986,0.0525519810617,0.0653459280729,0.0653014183044,0.0522274523973,0.0692114457488
14,0.062821008265,0.0553897954524,0.0669712275267,0.0622108653188,0.051848500967,0.0656743198633
15,0.0617030523717,0.0533192120492,0.0593418106437,0.0716724991798,0.0537945441902,0.0668615624309
16,0.0680387914181,0.0530604459345,0.0691705718637,0.0582014173269,0.0522184818983,0.0673062726855
17,0.0655086785555,0.0561966300011,0.0662789493799,0.0618551522493,0.0523669198155,0.0683431699872
18,0.0599690824747,0.0519074983895,0.0680930912495,0.0608813501894,0.0549713857472,0.0659978762269
19,0.0658914372325,0.0516704395413,0.0657563582063,0.0610578134656,0.0511829778552,0.0660853385925
20,0.064493842423,0.0582806318998,0.0674484521151,0.0622769035399,0.0530702024698,0.0639061480761
21,0.064686127007,0.050696644932,0.0683376342058,0.0638287961483,0.0562597028911,0.0682392790914
22,0.0632472410798,0.052976090461,0.0634740963578,0.0634218677878,0.0555744208395,0.0651507973671
23,0.065333597362,0.0520074777305,0.0629030168056,0.0649715289474,0.0541625395417,0.0634784772992
24,0.0622028447688,0.0552379824221,0.0644896775484,0.0606982856989,0.0523767694831,0.0675600990653
