,OHCLV_anomalous,OHCLV_autoencoder,OHCLV_pca,OHCLV_rbm
0,0.121973194182,0.122732654214,0.0779787898064,0.119965709746
1,0.122815638781,0.121871598065,0.0787763446569,0.119982942939
2,0.126319661736,0.122009433806,0.0785752534866,0.120054900646
3,0.125943019986,0.122126087546,0.0761479064822,0.119973920286
4,0.125647947192,0.121049016714,0.0772582218051,0.119469441473
5,0.121954426169,0.121650196612,0.0842935442924,0.119634516537
6,0.123990654945,0.122487463057,0.0759153813124,0.119437433779
7,0.124421864748,0.120680384338,0.0856070443988,0.119687989354
8,0.123180635273,0.121929526329,0.0751477479935,0.119605973363
9,0.126778528094,0.12203412503,0.0769888311625,0.119595550001
10,0.128360837698,0.122299969196,0.0794159322977,0.120065756142
11,0.123495668173,0.121646411717,0.0774950310588,0.119594350457
12,0.127386152744,0.121828705072,0.0774501338601,0.120434820652
13,0.122661113739,0.121053829789,0.0810537785292,0.119298510253
14,0.130113422871,0.12116933614,0.0786439701915,0.119332060218
15,0.125948011875,0.121062383056,0.0760604515672,0.119740732014
16,0.123387619853,0.121213488281,0.0743630975485,0.119271747768
17,0.125822886825,0.12093308568,0.07725571841,0.120513141155
18,0.122133173048,0.120754793286,0.073854714632,0.119628101587
19,0.122522331774,0.121142104268,0.0768554881215,0.119564659894
20,0.122559323907,0.120865270495,0.0791261792183,0.119203694165
21,0.122380115092,0.120963700116,0.0759231001139,0.119732119143
22,0.122833043337,0.120758697391,0.0808307528496,0.119657531381
23,0.122077986598,0.121802963316,0.0788457766175,0.11953561008
24,0.124703422189,0.120860785246,0.0795056447387,0.119656898081
