,res_PCA_anomalous_DNN,res_PCA_autoencoder_DNN,res_PCA_rbm_DNN,res_PCA_anomalous_RF,res_PCA_autoencoder_RF,res_PCA_rbm_RF
0,0.0667086094618,0.0592734329402,0.0580059438944,0.0596198067069,0.0573602057993,0.0569669790566
1,0.0604427345097,0.0570570379496,0.0576720647514,0.0582955181599,0.0564469881356,0.0602973997593
2,0.059627700597,0.0561324357986,0.0576376616955,0.0602026730776,0.0559957548976,0.0588815063238
3,0.0598325654864,0.0579692870378,0.0582997724414,0.0590958371758,0.0570280775428,0.0577631928027
4,0.0598712079227,0.0599827393889,0.0585577748716,0.0608727969229,0.0579842999578,0.058983027935
5,0.060607906431,0.0590364336967,0.0590259209275,0.0609138123691,0.0567819364369,0.0599292144179
6,0.0634257271886,0.0594023838639,0.0576789677143,0.060624524951,0.0572028495371,0.0572838373482
7,0.0597820058465,0.0621790029109,0.0589855276048,0.06117285043,0.0577428154647,0.0590235479176
8,0.0646860972047,0.0585961602628,0.0588819421828,0.0707480758429,0.057389896363,0.059941612184
9,0.0636552497745,0.0590994805098,0.057533711195,0.0661275163293,0.056591168046,0.058482337743
10,0.0617571659386,0.0580046288669,0.0592079535127,0.0647545009851,0.0564409159124,0.0577100403607
11,0.062372777611,0.0615605041385,0.0669550299644,0.0634098276496,0.057182777673,0.060140401125
12,0.0589555725455,0.0571123212576,0.0585096366704,0.0635206699371,0.0564374625683,0.0581235028803
13,0.0622092857957,0.0558628626168,0.0587363615632,0.0628876462579,0.0567087940872,0.0565049126744
14,0.062577098608,0.0568947568536,0.0580984055996,0.0669160932302,0.058550991118,0.0588176473975
15,0.0610415190458,0.0590385943651,0.0585159249604,0.0596123076975,0.0574451945722,0.059235945344
16,0.0619568936527,0.0581306368113,0.0595618151128,0.0613777972758,0.0573813579977,0.0609952844679
17,0.0609115809202,0.0593007616699,0.0598515756428,0.0614653863013,0.0545177310705,0.0600065998733
18,0.0593362301588,0.0571016557515,0.0587250441313,0.0610120892525,0.0561909414828,0.058101773262
19,0.0608740225434,0.0583058148623,0.058735460043,0.0589561387897,0.0592963322997,0.0587949603796
20,0.0601564720273,0.0567787587643,0.0604985505342,0.0639359727502,0.0582338683307,0.0595249161124
21,0.0609101206064,0.0580148138106,0.0576285198331,0.0578627549112,0.059675231576,0.0581863597035
22,0.0626602396369,0.0598693750799,0.0574589259923,0.0699446201324,0.0565528832376,0.0581207983196
23,0.0607251301408,0.0556964091957,0.0580041632056,0.0617927126586,0.0561989173293,0.0589218772948
24,0.058904979378,0.0571155026555,0.0566845797002,0.060532823205,0.0557217858732,0.0587126724422
