,res_PCA_anomalous_DNN,res_PCA_autoencoder_DNN,res_PCA_rbm_DNN,res_PCA_anomalous_RF,res_PCA_autoencoder_RF,res_PCA_rbm_RF
0,0.0511158071458,0.0516626834869,0.0540367998183,0.0535737164319,0.0516374520957,0.0526193939149
1,0.0507537685335,0.0504183508456,0.0531261377037,0.0522554330528,0.051484785974,0.0546397119761
2,0.0521791987121,0.0510875433683,0.0526865422726,0.0580521449447,0.0509574450552,0.050794634968
3,0.0518703050911,0.0513375066221,0.0554314777255,0.0505202934146,0.0503031499684,0.0541029125452
4,0.0529715903103,0.052401073277,0.0519734397531,0.0522277280688,0.0552193596959,0.0543597750366
5,0.0512084960938,0.055656991899,0.0546240732074,0.0512166656554,0.0518117696047,0.0520139932632
6,0.0518347918987,0.0534624457359,0.0531322397292,0.050841704011,0.0513298884034,0.0546674542129
7,0.0532517582178,0.0500924065709,0.0540919080377,0.0511082373559,0.0582040995359,0.0537106469274
8,0.053143247962,0.0506147295237,0.0531051941216,0.0523828528821,0.0517693944275,0.0519892051816
9,0.0511313118041,0.0507043451071,0.0531693473458,0.0505290292203,0.0503418035805,0.05187490955
10,0.0505469404161,0.0501792989671,0.052827462554,0.0519458912313,0.0512070432305,0.0513990744948
11,0.0505647547543,0.0518646016717,0.0529643967748,0.0527410060167,0.0521724149585,0.0518608987331
12,0.0545234493911,0.0497249439359,0.0501372478902,0.0528017170727,0.0546829104424,0.0532707348466
13,0.0527530796826,0.0522199422121,0.0548688545823,0.0519489496946,0.0508004277945,0.0526848621666
14,0.0516613461077,0.0507762618363,0.0552428811789,0.0537220798433,0.0512504279613,0.0521744303405
15,0.0531515665352,0.0508179217577,0.0537758395076,0.0527599640191,0.051382124424,0.0547771416605
16,0.0537426061928,0.0499898307025,0.0581417828798,0.0549592748284,0.0508169308305,0.0526033528149
17,0.0544242970645,0.0509590581059,0.0551265887916,0.0524661950767,0.0504810921848,0.0520692840219
18,0.0517841130495,0.052503939718,0.0526756644249,0.0525721758604,0.0511341281235,0.052394721657
19,0.0533384643495,0.054433118552,0.0531430914998,0.0512345284224,0.0508635602891,0.0521004423499
20,0.0535782314837,0.0514404661953,0.0512647815049,0.0511468313634,0.0520783364773,0.0531665943563
21,0.0529056228697,0.0514448881149,0.0547287575901,0.0518593937159,0.0523765906692,0.052303340286
22,0.0509394556284,0.0520086660981,0.0542139075696,0.0519331283867,0.0511057786644,0.0505699776113
23,0.0554736405611,0.0523917935789,0.0577650889754,0.052940171212,0.0509058982134,0.0542082935572
24,0.0515674836934,0.054932937026,0.0522847697139,0.0511896423995,0.0510503128171,0.0545365437865
