,OHCLV_anomalous,OHCLV_autoencoder,OHCLV_pca,OHCLV_rbm
0,0.125620782375,0.117843940854,0.0718901157379,0.121451623738
1,0.123499922454,0.119310714304,0.0710734948516,0.120896682143
2,0.124882206321,0.118883371353,0.0689356327057,0.120126515627
3,0.124371081591,0.118774265051,0.0735833495855,0.122057937086
4,0.12510932982,0.11252309382,0.0727135464549,0.122419312596
5,0.123777709901,0.116478130221,0.0697337239981,0.12259927392
6,0.124705992639,0.118167303503,0.0698774605989,0.123898968101
7,0.124912291765,0.117458574474,0.070480696857,0.121926538646
8,0.124418161809,0.115764766932,0.0688710138202,0.120963022113
9,0.124241031706,0.118455633521,0.0695536956191,0.121077224612
10,0.124031484127,0.121690578759,0.0690822899342,0.121473148465
11,0.126240551472,0.116693302989,0.0738044828176,0.120598860085
12,0.124752320349,0.114663407207,0.0701902806759,0.122991189361
13,0.123411998153,0.118604287505,0.0702463015914,0.122123904526
14,0.124706722796,0.117357857525,0.0716958120465,0.120806120336
15,0.125325366855,0.116715826094,0.0778382718563,0.121245667338
16,0.125385865569,0.113807827234,0.069846406579,0.122122913599
17,0.124269463122,0.114592462778,0.0711077675223,0.12055452913
18,0.124035790563,0.118910461664,0.0690304785967,0.120711043477
19,0.123440094292,0.11735766381,0.0706075429916,0.12092024833
20,0.123454771936,0.11996845156,0.0719438195229,0.121017619967
21,0.123921513557,0.115925841033,0.0737953186035,0.11944077909
22,0.123959548771,0.11933375895,0.0697352662683,0.120595611632
23,0.123784080148,0.120467320085,0.070179797709,0.122661687434
24,0.124438203871,0.115396104753,0.0699085444212,0.120940625668
